                    Element nb,             Integration Point,                          Time,                        Stress,                  Total Strain,          Visco-plastic Strain,Equivalent viscoplastic Strain,                   Back Stress,                  Yield Stress,
                             1,                             1,                2.40000000E+00,                7.50909868E+00,                1.19285709E-02,                4.41947219E-03,                4.41947219E-03,                0.00000000E+00,                1.18414467E+00,
                             1,                             1,                2.60000000E+00,                7.83447911E+00,                1.29162253E-02,                5.08174616E-03,                5.08174616E-03,                0.00000000E+00,                1.18414467E+00,
                             1,                             2,                2.40000000E+00,                7.50909868E+00,                1.19285709E-02,                4.41947219E-03,                4.41947219E-03,                0.00000000E+00,                1.18414467E+00,
                             1,                             2,                2.60000000E+00,                7.83447911E+00,                1.29162253E-02,                5.08174616E-03,                5.08174616E-03,                0.00000000E+00,                1.18414467E+00,
                             1,                             1,                2.40000000E+00,                7.50909868E+00,                1.19285709E-02,                4.41947219E-03,                4.41947219E-03,                0.00000000E+00,                1.18414467E+00,
                             1,                             1,                2.60000000E+00,                7.83447911E+00,                1.29162253E-02,                5.08174616E-03,                5.08174616E-03,                0.00000000E+00,                1.18414467E+00,
                             1,                             2,                2.40000000E+00,                7.50909868E+00,                1.19285709E-02,                4.41947219E-03,                4.41947219E-03,                0.00000000E+00,                1.18414467E+00,
                             1,                             2,                2.60000000E+00,                7.83447911E+00,                1.29162253E-02,                5.08174616E-03,                5.08174616E-03,                0.00000000E+00,                1.18414467E+00,
                             1,                             1,                2.60000000E+00,                7.83447911E+00,                1.29162253E-02,                5.08174616E-03,                5.08174616E-03,                0.00000000E+00,                1.21173942E+00,
                             1,                             1,                2.80000000E+00,                8.13200403E+00,                1.39029052E-02,                5.77090114E-03,                5.77090114E-03,                0.00000000E+00,                1.21173942E+00,
                             1,                             2,                2.60000000E+00,                7.83447911E+00,                1.29162253E-02,                5.08174616E-03,                5.08174616E-03,                0.00000000E+00,                1.21173942E+00,
                             1,                             2,                2.80000000E+00,                8.13200403E+00,                1.39029052E-02,                5.77090114E-03,                5.77090114E-03,                0.00000000E+00,                1.21173942E+00,
                             1,                             1,                2.60000000E+00,                7.83447911E+00,                1.29162253E-02,                5.08174616E-03,                5.08174616E-03,                0.00000000E+00,                1.21173942E+00,
                             1,                             1,                2.80000000E+00,                8.13200403E+00,                1.39029052E-02,                5.77090114E-03,                5.77090114E-03,                0.00000000E+00,                1.21173942E+00,
                             1,                             2,                2.60000000E+00,                7.83447911E+00,                1.29162253E-02,                5.08174616E-03,                5.08174616E-03,                0.00000000E+00,                1.21173942E+00,
                             1,                             2,                2.80000000E+00,                8.13200403E+00,                1.39029052E-02,                5.77090114E-03,                5.77090114E-03,                0.00000000E+00,                1.21173942E+00,
                             1,                             1,                2.80000000E+00,                8.13200403E+00,                1.39029052E-02,                5.77090114E-03,                5.77090114E-03,                0.00000000E+00,                1.24045421E+00,
                             1,                             1,                3.00000000E+00,                8.40429939E+00,                1.48886125E-02,                6.48431311E-03,                6.48431311E-03,                0.00000000E+00,                1.24045421E+00,
                             1,                             2,                2.80000000E+00,                8.13200403E+00,                1.39029052E-02,                5.77090114E-03,                5.77090114E-03,                0.00000000E+00,                1.24045421E+00,
                             1,                             2,                3.00000000E+00,                8.40429939E+00,                1.48886125E-02,                6.48431311E-03,                6.48431311E-03,                0.00000000E+00,                1.24045421E+00,
                             1,                             1,                2.80000000E+00,                8.13200403E+00,                1.39029052E-02,                5.77090114E-03,                5.77090114E-03,                0.00000000E+00,                1.24045421E+00,
                             1,                             1,                3.00000000E+00,                8.40429939E+00,                1.48886125E-02,                6.48431311E-03,                6.48431311E-03,                0.00000000E+00,                1.24045421E+00,
                             1,                             2,                2.80000000E+00,                8.13200403E+00,                1.39029052E-02,                5.77090114E-03,                5.77090114E-03,                0.00000000E+00,                1.24045421E+00,
                             1,                             2,                3.00000000E+00,                8.40429939E+00,                1.48886125E-02,                6.48431311E-03,                6.48431311E-03,                0.00000000E+00,                1.24045421E+00,
                             1,                             1,                3.00000000E+00,                8.40429939E+00,                1.48886125E-02,                6.48431311E-03,                6.48431311E-03,                0.00000000E+00,                1.27017971E+00,
                             1,                             1,                3.20000000E+00,                8.65374340E+00,                1.58733492E-02,                7.21960576E-03,                7.21960576E-03,                0.00000000E+00,                1.27017971E+00,
                             1,                             2,                3.00000000E+00,                8.40429939E+00,                1.48886125E-02,                6.48431311E-03,                6.48431311E-03,                0.00000000E+00,                1.27017971E+00,
                             1,                             2,                3.20000000E+00,                8.65374340E+00,                1.58733492E-02,                7.21960576E-03,                7.21960576E-03,                0.00000000E+00,                1.27017971E+00,
                             1,                             1,                3.00000000E+00,                8.40429939E+00,                1.48886125E-02,                6.48431311E-03,                6.48431311E-03,                0.00000000E+00,                1.27017971E+00,
                             1,                             1,                3.20000000E+00,                8.65374340E+00,                1.58733492E-02,                7.21960576E-03,                7.21960576E-03,                0.00000000E+00,                1.27017971E+00,
                             1,                             2,                3.00000000E+00,                8.40429939E+00,                1.48886125E-02,                6.48431311E-03,                6.48431311E-03,                0.00000000E+00,                1.27017971E+00,
                             1,                             2,                3.20000000E+00,                8.65374340E+00,                1.58733492E-02,                7.21960576E-03,                7.21960576E-03,                0.00000000E+00,                1.27017971E+00,
                             1,                             1,                3.20000000E+00,                8.65374340E+00,                1.58733492E-02,                7.21960576E-03,                7.21960576E-03,                0.00000000E+00,                1.30081691E+00,
                             1,                             1,                3.40000000E+00,                8.88248993E+00,                1.68571171E-02,                7.97462714E-03,                7.97462714E-03,                0.00000000E+00,                1.30081691E+00,
                             1,                             2,                3.20000000E+00,                8.65374340E+00,                1.58733492E-02,                7.21960576E-03,                7.21960576E-03,                0.00000000E+00,                1.30081691E+00,
                             1,                             2,                3.40000000E+00,                8.88248993E+00,                1.68571171E-02,                7.97462714E-03,                7.97462714E-03,                0.00000000E+00,                1.30081691E+00,
                             1,                             1,                3.20000000E+00,                8.65374340E+00,                1.58733492E-02,                7.21960576E-03,                7.21960576E-03,                0.00000000E+00,                1.30081691E+00,
                             1,                             1,                3.40000000E+00,                8.88248993E+00,                1.68571171E-02,                7.97462714E-03,                7.97462714E-03,                0.00000000E+00,                1.30081691E+00,
                             1,                             2,                3.20000000E+00,                8.65374340E+00,                1.58733492E-02,                7.21960576E-03,                7.21960576E-03,                0.00000000E+00,                1.30081691E+00,
                             1,                             2,                3.40000000E+00,                8.88248993E+00,                1.68571171E-02,                7.97462714E-03,                7.97462714E-03,                0.00000000E+00,                1.30081691E+00,
                             1,                             1,                3.40000000E+00,                8.88248993E+00,                1.68571171E-02,                7.97462714E-03,                7.97462714E-03,                0.00000000E+00,                1.33227613E+00,
                             1,                             1,                3.60000000E+00,                9.09248965E+00,                1.78399181E-02,                8.74742848E-03,                8.74742848E-03,                0.00000000E+00,                1.33227613E+00,
                             1,                             2,                3.40000000E+00,                8.88248993E+00,                1.68571171E-02,                7.97462714E-03,                7.97462714E-03,                0.00000000E+00,                1.33227613E+00,
                             1,                             2,                3.60000000E+00,                9.09248965E+00,                1.78399181E-02,                8.74742848E-03,                8.74742848E-03,                0.00000000E+00,                1.33227613E+00,
                             1,                             1,                3.40000000E+00,                8.88248993E+00,                1.68571171E-02,                7.97462714E-03,                7.97462714E-03,                0.00000000E+00,                1.33227613E+00,
                             1,                             1,                3.60000000E+00,                9.09248965E+00,                1.78399181E-02,                8.74742848E-03,                8.74742848E-03,                0.00000000E+00,                1.33227613E+00,
                             1,                             2,                3.40000000E+00,                8.88248993E+00,                1.68571171E-02,                7.97462714E-03,                7.97462714E-03,                0.00000000E+00,                1.33227613E+00,
                             1,                             2,                3.60000000E+00,                9.09248965E+00,                1.78399181E-02,                8.74742848E-03,                8.74742848E-03,                0.00000000E+00,                1.33227613E+00,
                             1,                             1,                3.60000000E+00,                9.09248965E+00,                1.78399181E-02,                8.74742848E-03,                8.74742848E-03,                0.00000000E+00,                1.36447619E+00,
                             1,                             1,                3.80000000E+00,                9.28550919E+00,                1.88217542E-02,                9.53624505E-03,                9.53624505E-03,                0.00000000E+00,                1.36447619E+00,
                             1,                             2,                3.60000000E+00,                9.09248965E+00,                1.78399181E-02,                8.74742848E-03,                8.74742848E-03,                0.00000000E+00,                1.36447619E+00,
                             1,                             2,                3.80000000E+00,                9.28550919E+00,                1.88217542E-02,                9.53624505E-03,                9.53624505E-03,                0.00000000E+00,                1.36447619E+00,
                             1,                             1,                3.60000000E+00,                9.09248965E+00,                1.78399181E-02,                8.74742848E-03,                8.74742848E-03,                0.00000000E+00,                1.36447619E+00,
                             1,                             1,                3.80000000E+00,                9.28550919E+00,                1.88217542E-02,                9.53624505E-03,                9.53624505E-03,                0.00000000E+00,                1.36447619E+00,
